wavelength_nm,reflectance_or_HR_raw
260,0.626510607
520,0.701011528
780,0.774477849
1040,0.813631796
1300,0.820130475
1560,0.815850747
1820,0.811359026
2080,0.818748034
2340,0.837600983
2600,0.863567983
2860,0.899166905
3120,0.925611129
3380,0.942868027
3640,0.969020448
3900,0.995347957
4160,1.039815404
4420,1.113950945
4680,1.179503849
4940,1.214779204
5200,1.179763989
5460,1.095937344
5720,0.999391698
5980,0.916837472
6240,0.869753214
6500,0.828615209
6760,0.811358677
7020,0.811330629
7280,0.84649225
7540,0.903134285
7800,0.964729994
8060,1.021878742
8320,1.071841716
8580,1.118678335
8840,1.170950973
9100,1.232744955
9360,1.258621173
9620,1.295664368
9880,1.4014325
10140,1.774887823
10400,2.723779834
10660,3.131090195
10920,3.1893281
11180,3.283857236
11440,3.391212748
11700,3.416479343
11960,3.40770791
12220,3.425099587
12480,3.451781322
12740,3.478020876
