wavelength_nm,irradiance_W_m2_nm
280,4.616e-22
280.5,9.894e-21
281,4.483e-20
281.5,1.02e-18
282,7.174e-18
282.5,2.597e-17
283,9.946e-17
283.5,1.865e-16
284,3.098e-15
284.5,9.98e-15
285,2.964e-14
285.5,1.419e-13
286,4.457e-13
286.5,2.499e-12
287,7.715e-12
287.5,2.815e-11
288,1.434e-10
288.5,3.768e-10
289,1.166e-09
289.5,4.036e-09
290,1.108e-08
290.5,2.437e-08
291,5.854e-08
291.5,1.672e-07
292,3.837e-07
292.5,5.93e-07
293,1.144e-06
293.5,2.782e-06
294,4.892e-06
294.5,7.475e-06
295,1.326e-05
295.5,2.801e-05
296,4.629e-05
296.5,6.623e-05
297,8.704e-05
297.5,0.0001588
298,0.0002376
298.5,0.0002854
299,0.0003821
299.5,0.0006324
300,0.0007437
300.5,0.0008854
301,0.001319
301.5,0.001784
302,0.001918
302.5,0.002738
303,0.004376
303.5,0.005444
304,0.005691
304.5,0.006924
305,0.009054
305.5,0.01001
306,0.009872
306.5,0.01104
307,0.01397
307.5,0.0172
308,0.01828
308.5,0.01972
309,0.01909
309.5,0.01952
310,0.02258
310.5,0.02893
311,0.03614
311.5,0.03659
312,0.03929
312.5,0.04084
313,0.04398
313.5,0.04494
314,0.04874
314.5,0.05139
315,0.0536
315.5,0.04779
316,0.04852
316.5,0.0578
317,0.06639
317.5,0.07157
318,0.0681
318.5,0.06983
319,0.07597
319.5,0.07523
320,0.07959
320.5,0.09222
321,0.09165
321.5,0.08755
322,0.08481
322.5,0.08317
323,0.07994
323.5,0.09065
324,0.1004
324.5,0.1053
325,0.1068
325.5,0.1227
326,0.1413
326.5,0.1492
327,0.1475
327.5,0.1443
328,0.1355
328.5,0.1401
329,0.1567
329.5,0.1738
330,0.1764
330.5,0.1634
331,0.1553
331.5,0.16
332,0.1651
332.5,0.1659
333,0.1635
333.5,0.1576
334,0.1615
334.5,0.1718
335,0.1785
335.5,0.1745
336,0.1606
336.5,0.1495
337,0.1476
337.5,0.1591
338,0.1714
338.5,0.1795
339,0.1832
339.5,0.1884
340,0.2011
340.5,0.2013
341,0.1893
341.5,0.1887
342,0.1974
342.5,0.2054
343,0.2094
343.5,0.1986
344,0.1726
344.5,0.1663
345,0.1894
345.5,0.2024
346,0.1982
346.5,0.2025
347,0.2065
347.5,0.2001
348,0.1998
348.5,0.2038
349,0.1969
349.5,0.2029
350,0.2248
350.5,0.2424
351,0.2366
351.5,0.2285
352,0.2236
352.5,0.2119
353,0.2258
353.5,0.2491
354,0.2641
354.5,0.2678
355,0.2686
355.5,0.26
356,0.2447
356.5,0.2301
357,0.203
357.5,0.206
358,0.1922
358.5,0.179
359,0.2111
359.5,0.2551
360,0.2705
360.5,0.2563
361,0.2365
361.5,0.2323
362,0.2441
362.5,0.2681
363,0.2765
363.5,0.2696
364,0.28
364.5,0.2781
365,0.2895
365.5,0.3194
366,0.3431
366.5,0.3446
367,0.339
367.5,0.3334
368,0.3146
368.5,0.3133
369,0.3283
369.5,0.3536
370,0.3593
370.5,0.3256
371,0.3315
371.5,0.3453
372,0.324
372.5,0.3094
373,0.2987
373.5,0.2699
374,0.2698
374.5,0.2684
375,0.287
375.5,0.318
376,0.3301
376.5,0.3255
377,0.3499
377.5,0.3912
378,0.4224
378.5,0.4126
379,0.3688
379.5,0.3313
380,0.349
380.5,0.3747
381,0.3821
381.5,0.3451
382,0.2948
382.5,0.2556
383,0.2296
383.5,0.2227
384,0.2582
384.5,0.3115
385,0.3426
385.5,0.328
386,0.3171
386.5,0.3304
387,0.334
387.5,0.3298
388,0.3272
388.5,0.3256
389,0.3542
389.5,0.3933
390,0.4134
390.5,0.4177
391,0.4433
391.5,0.4504
392,0.4154
392.5,0.3469
393,0.2516
393.5,0.2005
394,0.2609
394.5,0.3606
395,0.4266
395.5,0.4552
396,0.401
396.5,0.2921
397,0.2267
397.5,0.3354
398,0.455
398.5,0.5383
399,0.5726
399.5,0.5911
400,0.5985
401,0.6254
402,0.6522
403,0.63
404,0.6422
405,0.6284
406,0.6147
407,0.6057
408,0.6343
409,0.6795
410,0.5809
411,0.6521
412,0.6951
413,0.6687
414,0.6633
415,0.6886
416,0.7111
417,0.6955
418,0.6671
419,0.6962
420,0.6396
421,0.7284
422,0.7204
423,0.6994
424,0.6973
425,0.7205
426,0.7018
427,0.6796
428,0.6879
429,0.6385
430,0.5105
431,0.4646
432,0.7747
433,0.7225
434,0.669
435,0.7354
436,0.8083
437,0.8268
438,0.7272
439,0.7012
440,0.8055
441,0.7962
442,0.8536
443,0.8653
444,0.8466
445,0.8801
446,0.7906
447,0.9017
448,0.9147
449,0.9145
450,0.9499
451,0.987
452,0.9467
453,0.8757
454,0.941
455,0.936
456,0.9687
457,0.9786
458,0.9595
459,0.9537
460,0.9493
461,0.9844
462,0.9952
463,1
464,0.9711
465,0.9604
466,0.9822
467,0.9399
468,0.9823
469,0.9879
470,0.9506
471,0.9685
472,1.02
473,0.9821
474,0.9952
475,1.03
476,0.9964
477,1.004
478,1.038
479,1.02
480,1.039
481,1.04
482,1.046
483,1.034
484,1.016
485,1.013
486,0.8223
487,0.9221
488,0.9993
489,0.9425
490,1.055
491,1.015
492,0.9692
493,1.038
494,1.014
495,1.078
496,1.027
497,1.046
498,1.018
499,1.02
500,1.017
501,0.9877
502,0.9868
503,1.031
504,0.9477
505,1.033
506,1.073
507,1.026
508,1.004
509,1.055
510,1.031
511,1.054
512,1.084
513,1.02
514,1
515,1.031
516,1.041
517,0.8498
518,0.9731
519,0.9442
520,1.032
521,1.041
522,1.066
523,1.006
524,1.083
525,1.076
526,1.048
527,0.9174
528,1.052
529,1.103
530,1.061
531,1.121
532,1.102
533,0.9854
534,1.057
535,1.074
536,1.121
537,1.038
538,1.091
539,1.065
540,1.028
541,0.9846
542,1.073
543,1.061
544,1.096
545,1.074
546,1.061
547,1.081
548,1.053
549,1.088
550,1.081
551,1.081
552,1.105
553,1.075
554,1.097
555,1.105
556,1.087
557,1.062
558,1.086
559,1.029
560,1.048
561,1.11
562,1.058
563,1.099
564,1.079
565,1.087
566,1.029
567,1.097
568,1.083
569,1.043
570,1.052
571,1.028
572,1.079
573,1.086
574,1.083
575,1.059
576,1.053
577,1.081
578,1.051
579,1.069
580,1.087
581,1.093
582,1.11
583,1.122
584,1.12
585,1.111
586,1.082
587,1.099
588,1.048
589,0.8707
590,0.9276
591,1.011
592,0.9827
593,1.017
594,1.007
595,0.9814
596,1.045
597,1.045
598,1.041
599,1.048
600,1.07
601,1.067
602,1.054
603,1.08
604,1.101
605,1.101
606,1.096
607,1.103
608,1.099
609,1.091
610,1.087
611,1.082
612,1.099
613,1.083
614,1.051
615,1.09
616,1.061
617,1.048
618,1.089
619,1.094
620,1.095
621,1.1
622,1.062
623,1.055
624,1.052
625,1.045
626,1.042
627,1.066
628,1.003
629,1.042
630,1.034
631,1.055
632,1.007
633,1.075
634,1.062
635,1.074
636,1.051
637,1.086
638,1.097
639,1.092
640,1.07
641,1.071
642,1.074
643,1.082
644,1.079
645,1.082
646,1.034
647,1.006
648,0.9881
649,0.96
650,0.9952
651,1.063
652,0.978
653,1.052
654,1.042
655,0.9784
656,0.8664
