wavelength_nm,irradiance_W_m2_nm
280,4.021e-19
280.5,3.701e-18
281,1.251e-17
281.5,1.468e-16
282,7.024e-16
282.5,1.969e-15
283,6.054e-15
283.5,9.881e-15
284,9.445e-14
284.5,2.349e-13
285,5.331e-13
285.5,1.881e-12
286,5.172e-12
286.5,1.736e-11
287,4.836e-11
287.5,1.563e-10
288,6.91e-10
288.5,1.678e-09
289,4.808e-09
289.5,1.541e-08
290,3.9e-08
290.5,8.329e-08
291,1.952e-07
291.5,5.504e-07
292,1.266e-06
292.5,1.961e-06
293,3.849e-06
293.5,9.893e-06
294,1.47e-05
294.5,1.906e-05
295,3.354e-05
295.5,7.079e-05
296,0.0001171
296.5,0.0001686
297,0.0002229
297.5,0.0004148
298,0.0006338
298.5,0.0007753
299,0.00106
299.5,0.001845
300,0.002238
300.5,0.002748
301,0.003948
301.5,0.005179
302,0.005459
302.5,0.007716
303,0.01232
303.5,0.01528
304,0.01588
304.5,0.01932
305,0.02542
305.5,0.02814
306,0.02764
306.5,0.03086
307,0.04374
307.5,0.05223
308,0.05484
308.5,0.05812
309,0.05547
309.5,0.05543
310,0.06329
310.5,0.08024
311,0.09916
311.5,0.09949
312,0.1056
312.5,0.1089
313,0.1163
313.5,0.1179
314,0.127
314.5,0.1333
315,0.1381
315.5,0.122
316,0.1234
316.5,0.1467
317,0.1673
317.5,0.1788
318,0.1696
318.5,0.1743
319,0.1893
319.5,0.1847
320,0.1938
320.5,0.2254
321,0.225
321.5,0.2191
322,0.2032
322.5,0.1981
323,0.1906
323.5,0.2227
324,0.2456
324.5,0.2547
325,0.2488
325.5,0.2923
326,0.3372
326.5,0.3562
327,0.3491
327.5,0.3386
328,0.3136
328.5,0.3252
329,0.3648
329.5,0.4034
330,0.4062
330.5,0.3715
331,0.3501
331.5,0.3605
332,0.3727
332.5,0.3737
333,0.3656
333.5,0.3483
334,0.3547
334.5,0.3776
335,0.4124
335.5,0.3937
336,0.3605
336.5,0.3223
337,0.3157
337.5,0.3381
338,0.3644
338.5,0.3893
339,0.3928
339.5,0.404
340,0.4405
340.5,0.4364
341,0.3984
341.5,0.3911
342,0.4061
342.5,0.4198
343,0.4282
343.5,0.406
344,0.3605
344.5,0.3399
345,0.3804
345.5,0.403
346,0.3918
346.5,0.3978
347,0.4056
347.5,0.3918
348,0.3876
348.5,0.3926
349,0.3774
349.5,0.3874
350,0.4273
350.5,0.4588
351,0.4468
351.5,0.4325
352,0.4199
352.5,0.3952
353,0.4188
353.5,0.4596
354,0.485
354.5,0.4898
355,0.4897
355.5,0.4722
356,0.4425
356.5,0.4146
357,0.3643
357.5,0.3682
358,0.3422
358.5,0.3174
359,0.3731
359.5,0.4496
360,0.475
360.5,0.4483
361,0.412
361.5,0.4032
362,0.4223
362.5,0.4623
363,0.4752
363.5,0.4619
364,0.478
364.5,0.4732
365,0.491
365.5,0.5399
366,0.5781
366.5,0.5786
367,0.5674
367.5,0.5562
368,0.5233
368.5,0.5195
369,0.5426
369.5,0.5826
370,0.5903
370.5,0.5333
371,0.5414
371.5,0.5621
372,0.5258
372.5,0.5006
373,0.4819
373.5,0.4341
374,0.4327
374.5,0.4292
375,0.4577
375.5,0.5058
376,0.5234
376.5,0.5146
377,0.5518
377.5,0.6151
378,0.6622
378.5,0.645
379,0.5748
379.5,0.5149
380,0.5407
380.5,0.579
381,0.5887
381.5,0.5303
382,0.4518
382.5,0.3906
383,0.3499
383.5,0.3386
384,0.3915
384.5,0.4711
385,0.5168
385.5,0.4936
386,0.476
386.5,0.4947
387,0.4988
387.5,0.4913
388,0.4863
388.5,0.4826
389,0.5236
389.5,0.5801
390,0.6082
390.5,0.613
391,0.649
391.5,0.6578
392,0.6053
392.5,0.5043
393,0.3649
393.5,0.2901
394,0.3767
394.5,0.5194
395,0.6132
395.5,0.6528
396,0.5737
396.5,0.417
397,0.3229
397.5,0.4766
398,0.645
398.5,0.7615
399,0.8083
399.5,0.8327
400,0.8413
401,0.8774
402,0.9113
403,0.8766
404,0.8899
405,0.8672
406,0.845
407,0.8292
408,0.8649
409,0.923
410,0.7862
411,0.8794
412,0.934
413,0.8951
414,0.8848
415,0.9151
416,0.9417
417,0.9176
418,0.8769
419,0.912
420,0.8349
421,0.9475
422,0.9338
423,0.9034
424,0.8976
425,0.9244
426,0.8977
427,0.8665
428,0.8743
429,0.8091
430,0.645
431,0.585
432,0.9725
433,0.9041
434,0.8346
435,0.9147
436,1.003
437,1.023
438,0.8973
439,0.8626
440,0.9882
441,0.974
442,1.041
443,1.052
444,1.027
445,1.065
446,0.9539
447,1.085
448,1.098
449,1.095
450,1.134
451,1.175
452,1.124
453,1.038
454,1.112
455,1.104
456,1.139
457,1.148
458,1.123
459,1.113
460,1.105
461,1.143
462,1.153
463,1.157
464,1.121
465,1.106
466,1.129
467,1.078
468,1.124
469,1.127
470,1.082
471,1.1
472,1.157
473,1.111
474,1.123
475,1.16
476,1.119
477,1.125
478,1.161
479,1.138
480,1.157
481,1.156
482,1.16
483,1.145
484,1.123
485,1.117
486,0.9055
487,1.014
488,1.096
489,1.032
490,1.153
491,1.108
492,1.055
493,1.128
494,1.101
495,1.168
496,1.11
497,1.128
498,1.097
499,1.096
500,1.091
501,1.059
502,1.055
503,1.1
504,1.006
505,1.097
506,1.137
507,1.085
508,1.06
509,1.112
510,1.085
511,1.107
512,1.137
513,1.068
514,1.046
515,1.075
516,1.085
517,0.8836
518,1.01
519,0.9783
520,1.067
521,1.075
522,1.098
523,1.035
524,1.112
525,1.102
526,1.072
527,0.9365
528,1.072
529,1.121
530,1.078
531,1.136
532,1.116
533,0.9958
534,1.066
535,1.082
536,1.128
537,1.043
538,1.094
539,1.067
540,1.028
541,0.9827
542,1.069
543,1.056
544,1.089
545,1.066
546,1.051
547,1.069
548,1.04
549,1.073
550,1.065
551,1.064
552,1.086
553,1.055
554,1.075
555,1.081
556,1.062
557,1.036
558,1.058
559,1
560,1.018
561,1.077
562,1.025
563,1.063
564,1.042
565,1.048
566,0.9904
567,1.055
568,1.039
569,0.9975
570,1.006
571,0.9823
572,1.029
573,1.035
574,1.03
575,1.006
576,0.999
577,1.025
578,0.9961
579,1.012
580,1.029
581,1.034
582,1.049
583,1.059
584,1.056
585,1.046
586,1.018
587,1.032
588,0.9808
589,0.8112
590,0.8634
591,0.9421
592,0.9137
593,0.9459
594,0.9357
595,0.9092
596,0.9694
597,0.9687
598,0.9642
599,0.97
600,0.9906
601,0.9875
602,0.9747
603,0.9976
604,1.016
605,1.015
606,1.01
607,1.015
608,1.011
609,1.003
610,0.9986
611,0.9931
612,1.008
613,0.9929
614,0.9622
615,0.9972
616,0.9705
617,0.9578
618,0.9937
619,0.998
620,0.998
621,1.002
622,0.9652
623,0.9576
624,0.9541
625,0.9475
626,0.9444
627,0.9648
628,0.9039
629,0.9402
630,0.9329
631,0.9518
632,0.9076
633,0.9691
634,0.957
635,0.9672
636,0.9459
637,0.9773
638,0.9865
639,0.9816
640,0.9611
641,0.9608
642,0.9632
643,0.9701
644,0.9664
645,0.9681
646,0.9237
647,0.8959
648,0.879
649,0.8535
650,0.8863
651,0.9461
652,0.8673
653,0.9349
654,0.9261
655,0.8676
656,0.7682
657,0.8019
658,0.9067
659,0.9138
660,0.9213
661,0.9241
662,0.92
663,0.9204
664,0.9295
665,0.9464
666,0.946
667,0.9391
668,0.9431
669,0.9589
670,0.9456
671,0.9436
672,0.9302
673,0.938
674,0.9364
675,0.9284
676,0.9389
677,0.9301
678,0.9348
679,0.9266
680,0.9276
681,0.9234
682,0.9271
683,0.9164
684,0.9094
685,0.9104
686,0.8888
687,0.6324
688,0.7368
689,0.7408
690,0.7764
691,0.8063
692,0.8128
693,0.7628
694,0.7341
695,0.7742
696,0.7727
697,0.8589
698,0.8428
