wavelength_nm,transmittance
200,0.77297263
205,0.79381315
210,0.82788715
215,0.86300285
220,0.88804121
225,0.89703353
230,0.89295626
235,0.88231048
240,0.87591281
245,0.88306802
250,0.90209808
255,0.92081752
260,0.93349752
265,0.93951083
270,0.9421508
275,0.94306782
280,0.9438002
285,0.9442752
290,0.9448662
295,0.9452394
300,0.94581198
305,0.94596369
310,0.94633961
315,0.93094362
320,0.93145662
325,0.93170901
330,0.93200903
335,0.93239413
340,0.93260156
345,0.9327921
350,0.93312097
355,0.93324707
360,0.93345331
365,0.93364237
370,0.93378422
375,0.93413666
380,0.93432597
385,0.93450266
390,0.93443393
395,0.93470682
400,0.93463687
405,0.93506835
410,0.9350108
415,0.93524521
420,0.93538442
425,0.93537764
430,0.93554257
435,0.93564123
440,0.93565477
445,0.9358329
450,0.9358745
455,0.93607073
460,0.93611034
465,0.9361791
470,0.93609993
475,0.93635482
480,0.93624332
485,0.93641368
490,0.9364425
495,0.93655436
500,0.93658164
505,0.93666892
510,0.93650396
515,0.9368902
520,0.93682021
525,0.93696278
530,0.93699864
535,0.93697537
540,0.9370706
545,0.93704543
550,0.93706015
555,0.93721765
560,0.93713185
565,0.93713548
570,0.93714441
575,0.93728533
580,0.93716755
585,0.93733551
590,0.93721327
595,0.93729365
600,0.93737662
605,0.93751192
610,0.9374141
615,0.93759847
620,0.93751374
625,0.93754556
630,0.93743161
635,0.93774557
640,0.93752367
645,0.93756963
650,0.93762882
655,0.93769649
660,0.93779264
665,0.93787357
670,0.93782258
675,0.93772672
680,0.93779045
685,0.93800178
690,0.93781909
695,0.9378946
700,0.93796402
705,0.9380325
710,0.93809975
715,0.93793846
720,0.93829323
725,0.93808171
730,0.93824972
735,0.93822215
740,0.93821303
745,0.93841976
750,0.93839821
755,0.93836673
760,0.93837278
765,0.93840222
770,0.93855861
775,0.93857045
780,0.93860471
785,0.93874346
790,0.93877453
795,0.93883792
800,0.93884479
805,0.93898869
810,0.93899663
815,0.93917287
820,0.93918937
825,0.93945779
830,0.93980317
835,0.93972463
840,0.93998882
845,0.93968018
850,0.93949627
855,0.93977178
860,0.94275656
865,0.94256565
870,0.94221786
875,0.94194367
880,0.94142281
885,0.94093996
890,0.94079993
895,0.94054994
900,0.94009318
905,0.94021549
910,0.9403827
915,0.94042824
920,0.9404348
925,0.94035857
930,0.9406745
935,0.9406023
940,0.94080607
945,0.94108948
950,0.94110623
955,0.94119804
960,0.94129682
965,0.94136023
970,0.9416878
975,0.94172628
980,0.94183587
985,0.94192185
990,0.94203385
995,0.94189099
1000,0.94178225
1005,0.94194216
1010,0.94207285
1015,0.94195894
1020,0.94210873
1025,0.94202675
1030,0.94194847
1035,0.94207233
1040,0.94211387
1045,0.94227982
1050,0.94211305
1055,0.94216354
1060,0.94201815
1065,0.94207201
1070,0.94223357
1075,0.94228954
1080,0.94203243
1085,0.94213987
1090,0.94221127
1095,0.94226939
1100,0.94237635
1105,0.94206273
1110,0.94207241
1115,0.94231341
1120,0.94249817
1125,0.94227735
1130,0.94223605
1135,0.94234994
1140,0.94245246
1145,0.94239103
1150,0.94241304
1155,0.942569
1160,0.94254119
1165,0.94266199
1170,0.94262762
1175,0.9424703
1180,0.94239201
1185,0.94270205
1190,0.94269709
1195,0.94261678
1200,0.94297194
1205,0.94282558
1210,0.94263446
1215,0.94271413
1220,0.94288924
1225,0.94294517
1230,0.94275477
1235,0.9426397
1240,0.94299144
1245,0.94316648
1250,0.94295869
1255,0.94323711
1260,0.9432538
1265,0.94298153
1270,0.94325284
1275,0.94322055
1280,0.94310604
1285,0.94335848
1290,0.94334251
1295,0.94347674
1300,0.94339456
1305,0.94326422
1310,0.94348892
1315,0.94340238
1320,0.94365687
1325,0.94352781
1330,0.94370322
1335,0.94345891
1340,0.94365088
1345,0.94347306
1350,0.94337842
1355,0.94316701
1360,0.94337193
1365,0.94346515
1370,0.94325251
1375,0.94334707
1380,0.94306348
1385,0.94307169
1390,0.94331623
1395,0.9432104
1400,0.94390395
1405,0.94383872
1410,0.94345736
1415,0.94366259
1420,0.9433714
1425,0.94326425
1430,0.94361255
1435,0.94378038
1440,0.94336877
1445,0.94337323
1450,0.94359632
1455,0.94356991
1460,0.94333084
1465,0.94334248
1470,0.94363808
1475,0.94373455
1480,0.94348376
1485,0.94320008
1490,0.94327373
1495,0.94350947
1500,0.94365053
1505,0.94348059
1510,0.943167
1515,0.94288967
1520,0.94295956
1525,0.9432051
1530,0.94330711
1535,0.9433206
1540,0.94327422
1545,0.94324545
1550,0.94301435
1555,0.94277024
1560,0.94272172
1565,0.94259414
1570,0.94241417
1575,0.94255588
1580,0.94268256
1585,0.94287443
1590,0.943066
1595,0.94313356
1600,0.9432211
1605,0.94325144
1610,0.94326565
1615,0.9431931
1620,0.94306299
1625,0.94312636
1630,0.94315454
1635,0.94311132
1640,0.94314149
1645,0.94302439
1650,0.94293135
1655,0.94293423
1660,0.94283777
1665,0.94247776
1670,0.94213385
1675,0.94211928
1680,0.94197051
1685,0.94182575
1690,0.94214812
1695,0.94239415
1700,0.94247397
1705,0.94255031
1710,0.94258768
1715,0.94281868
1720,0.94280491
1725,0.94241246
1730,0.94214241
1735,0.94213721
1740,0.94238104
1745,0.94272949
1750,0.94289418
1755,0.94297008
1760,0.94267709
1765,0.94225113
1770,0.94211877
1775,0.94238055
1780,0.94311712
1785,0.94343552
1790,0.9430234
1795,0.94268323
1800,0.94243898
1805,0.94252844
1810,0.94292672
1815,0.94321419
1820,0.94258398
1825,0.94219218
1830,0.9429453
1835,0.94346677
1840,0.9429337
1845,0.94271825
1850,0.94276518
1855,0.94292791
1860,0.94321247
1865,0.94329233
1870,0.94273093
1875,0.94299249
1880,0.94361095
1885,0.94332325
1890,0.94331097
1895,0.94408532
1900,0.94392124
1905,0.94353879
1910,0.94416957
1915,0.9446426
1920,0.94397939
1925,0.94350858
1930,0.94388137
1935,0.94369904
1940,0.9429889
1945,0.94316179
1950,0.94377013
1955,0.94333114
1960,0.94343287
1965,0.94430631
1970,0.94368921
1975,0.94358441
1980,0.9444458
1985,0.94402331
1990,0.94367732
1995,0.94452483
2000.065834,0.946698636756
2004.863527,0.946129836653
2009.942668,0.948376788787
2015.021015,0.951498355172
2020.098566,0.949196700914
2024.893299,0.945838779161
2029.969298,0.948831721091
2035.044496,0.947074686831
2039.837,0.949996729395
2044.910634,0.948365879113
2049.98346,0.948210332789
2054.77372,0.946042002233
2059.844971,0.947611569717
2064.915408,0.946711587275
2069.985031,0.947629843725
2074.772257,0.946447577559
2079.840289,0.945482581247
2084.907499,0.946610179296
2089.973887,0.945554460384
2094.758051,0.947734693908
2099.822832,0.948709165484
2104.886784,0.946679959748
2109.949906,0.947991134795
2114.730977,0.946036840972
2119.792477,0.946331797182
2124.85314,0.948815282174
2129.912964,0.948948891244
2134.690915,0.942830790219
2139.749102,0.945513673627
2144.806445,0.947684049104
2149.862941,0.945227023561
2154.637741,0.948448709116
2159.692584,0.948915549916
2164.746575,0.945712963237
2169.799712,0.943205484302
2174.571332,0.945895751649
2179.622801,0.949706986376
2184.673409,0.946445530937
2189.723155,0.950022195164
2194.772037,0.948401618141
2199.539629,0.947769630652
2204.586824,0.947020107187
2209.633149,0.94805853924
2214.678601,0.950415132179
2219.723179,0.946416236167
2224.486698,0.949383270263
2229.52957,0.943308809403
2234.571562,0.944198217282
2239.612672,0.947749659434
2244.652898,0.944058350475
2249.692237,0.946054024351
2254.450798,0.946059974416
2259.488408,0.950148790686
2264.525127,0.947604421459
2269.560952,0.94419472379
2274.595881,0.944147048739
2279.629911,0.947447977676
2284.663042,0.947427111713
2289.415726,0.947321804497
2294.447102,0.946407593002
2299.477571,0.947560553848
2304.507133,0.948429042897
2309.535784,0.946544528067
2314.563524,0.94692406422
2319.590351,0.94810032014
2324.337068,0.947036234308
2329.362112,0.945230678388
2334.386236,0.949162400268
2339.409439,0.946317207833
2344.431718,0.94708283179
2349.453071,0.944255693595
2354.473497,0.947365437827
2359.492994,0.946967137421
2364.511559,0.947533220661
2369.250458,0.947337006975
2374.267206,0.946434162455
2379.283017,0.943813875285
2384.297888,0.947135083223
2389.311818,0.944860529065
2394.324805,0.948736027674
2399.336847,0.945433899468
2404.347942,0.947978655849
2409.358087,0.942854764901
2414.367281,0.946579911159
2419.375522,0.947053145954
2424.382808,0.947696806672
2429.389137,0.944929901822
2434.394506,0.946900082138
2439.398915,0.947584308218
2444.124416,0.946486511449
2449.126951,0.951145016479
2454.128518,0.946613611949
2459.129116,0.947482424505
2464.128744,0.947544619888
2469.127399,0.947062304425
2474.125079,0.944215382176
2479.121782,0.947786813104
2484.117507,0.947178938891
2489.112251,0.947021245315
2494.106012,0.944373093881
2499.098789,0.949330896663
2504.090579,0.948035336019
2509.08138,0.950129039213
2514.071191,0.946130239261
2519.06001,0.948179467185
2524.047834,0.943966218645
2529.034661,0.946225879478
2534.02049,0.94994905046
2539.005319,0.948468286176
2543.989145,0.94764581304
2548.971967,0.946119926089
2553.953782,0.945601771688
2558.93459,0.946622278446
2564.191013,0.947408399477
2569.169741,0.945200324441
2574.147456,0.948086629294
2579.124154,0.944643744073
2584.099834,0.945106640759
2589.074494,0.946522252051
2594.048132,0.945057393844
2599.020745,0.947277168129
2603.992333,0.944266246586
2608.962892,0.948576951451
2613.932422,0.948737935066
2618.90092,0.948738848648
2623.868383,0.946347735365
2628.834811,0.943263328707
2634.076026,0.947142472145
2639.040318,0.948979553031
2644.003569,0.947263225453
2648.965775,0.949492541265
2653.926936,0.945031966109
2658.88705,0.947202770164
2663.846113,0.947107787165
2668.804125,0.941026503361
2673.761084,0.944582295687
2678.992283,0.94564698237
2683.94707,0.945939317384
2688.900797,0.94248713559
2693.853462,0.944149385028
2698.805064,0.941946204626
2703.7556,0.942525520116
